x	u_pred	u_exact
0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00
1.001000963151454926e-02	-3.237918853759765625e+00	1.002002900349907577e-04
2.002001926302909851e-02	-6.493434906005859375e+00	4.008011601399630308e-04
3.003003075718879700e-02	-9.761904716491699219e+00	9.018027340061962605e-04
4.004003852605819702e-02	-1.303436565399169922e+01	1.603204640559852123e-03
5.005005002021789551e-02	-1.629224205017089844e+01	2.505007432773709297e-03
6.006006151437759399e-02	-1.949595069885253906e+01	3.607210936024785042e-03
7.007007300853729248e-02	-2.256123542785644531e+01	4.909815266728401184e-03
8.008007705211639404e-02	-2.531352233886718750e+01	6.412818562239408493e-03
9.009008854627609253e-02	-2.741225814819335938e+01	8.116223849356174469e-03
1.001001000404357910e-01	-2.827038383483886719e+01	1.002002973109483719e-02
1.101101115345954895e-01	-2.710641098022460938e+01	1.212423667311668396e-02
1.201201230287551880e-01	-2.339361381530761719e+01	1.442884374409914017e-02
1.301301270723342896e-01	-1.761286735534667969e+01	1.693384908139705658e-02
1.401401460170745850e-01	-1.130271720886230469e+01	1.963926106691360474e-02
1.501501500606536865e-01	-5.962709903717041016e+00	2.254506759345531464e-02
1.601601541042327881e-01	-2.181092500686645508e+00	2.565127424895763397e-02
1.701701730489730835e-01	2.109434902667999268e-01	2.895788848400115967e-02
1.801801770925521851e-01	1.631165862083435059e+00	3.246489539742469788e-02
1.901901960372924805e-01	2.450595378875732422e+00	3.617231175303459167e-02
2.002002000808715820e-01	2.921364545822143555e+00	4.008011892437934875e-02
2.102102041244506836e-01	3.195759773254394531e+00	4.418832808732986450e-02
2.202202230691909790e-01	3.360626935958862305e+00	4.849694669246673584e-02
2.302302271127700806e-01	3.464093923568725586e+00	5.300595611333847046e-02
2.402402460575103760e-01	3.532477855682373047e+00	5.771537497639656067e-02
2.502502501010894775e-01	3.580135345458984375e+00	6.262518465518951416e-02
2.602602541446685791e-01	3.614943742752075195e+00	6.773539632558822632e-02
2.702702581882476807e-01	3.641282558441162109e+00	7.304601371288299561e-02
2.802802920341491699e-01	3.661649465560913086e+00	7.855704426765441895e-02
2.902902960777282715e-01	3.677535533905029297e+00	8.426845818758010864e-02
3.003003001213073730e-01	3.689892768859863281e+00	9.018027037382125854e-02
3.103103041648864746e-01	3.699371099472045898e+00	9.629248827695846558e-02
3.203203082084655762e-01	3.706421136856079102e+00	1.026050969958305359e-01
3.303303420543670654e-01	3.711446285247802734e+00	1.091181337833404541e-01
3.403403460979461670e-01	3.714748144149780273e+00	1.158315539360046387e-01
3.503503501415252686e-01	3.716603994369506836e+00	1.227453649044036865e-01
3.603603541851043701e-01	3.717257261276245117e+00	1.298595815896987915e-01
3.703703582286834717e-01	3.716926336288452148e+00	1.371742039918899536e-01
3.803803920745849609e-01	3.715809822082519531e+00	1.446892470121383667e-01
3.903903961181640625e-01	3.714085578918457031e+00	1.524046659469604492e-01
4.004004001617431641e-01	3.711924314498901367e+00	1.603204756975173950e-01
4.104104042053222656e-01	3.709475994110107422e+00	1.684367060661315918e-01
4.204204082489013672e-01	3.706875801086425781e+00	1.767533123493194580e-01
4.304304420948028564e-01	3.704244136810302734e+00	1.852703690528869629e-01
4.404404461383819580e-01	3.701693058013916016e+00	1.939877867698669434e-01
4.504504501819610596e-01	3.699329853057861328e+00	2.029056102037429810e-01
4.604604542255401611e-01	3.697235822677612305e+00	2.120238244533538818e-01
4.704704582691192627e-01	3.695488929748535156e+00	2.213424593210220337e-01
4.804804921150207520e-01	3.694164991378784180e+00	2.308614999055862427e-01
4.904904961585998535e-01	3.693323135375976562e+00	2.405809313058853149e-01
5.005005002021789551e-01	3.693022727966308594e+00	2.505007386207580566e-01
5.105105042457580566e-01	3.693300962448120117e+00	2.606209814548492432e-01
5.205205082893371582e-01	3.694201469421386719e+00	2.709415853023529053e-01
5.305305123329162598e-01	3.695755243301391602e+00	2.814626097679138184e-01
5.405405163764953613e-01	3.698002576828002930e+00	2.921840548515319824e-01
5.505505800247192383e-01	3.700953960418701172e+00	3.031059503555297852e-01
5.605605840682983398e-01	3.704631328582763672e+00	3.142281770706176758e-01
5.705705881118774414e-01	3.709047317504882812e+00	3.255507946014404297e-01
5.805805921554565430e-01	3.714212417602539062e+00	3.370738327503204346e-01
5.905905961990356445e-01	3.720140457153320312e+00	3.487972617149353027e-01
6.006006002426147461e-01	3.726816415786743164e+00	3.607210814952850342e-01
6.106106042861938477e-01	3.734255313873291016e+00	3.728453218936920166e-01
6.206206083297729492e-01	3.742451667785644531e+00	3.851699531078338623e-01
6.306306123733520508e-01	3.751397609710693359e+00	3.976949751377105713e-01
6.406406164169311523e-01	3.761089801788330078e+00	4.104203879833221436e-01
6.506506800651550293e-01	3.771526098251342773e+00	4.233463108539581299e-01
6.606606841087341309e-01	3.782670021057128906e+00	4.364725351333618164e-01
6.706706881523132324e-01	3.794541358947753906e+00	4.497991800308227539e-01
6.806806921958923340e-01	3.807105779647827148e+00	4.633262157440185547e-01
6.906906962394714355e-01	3.820360660552978516e+00	4.770536422729492188e-01
7.007007002830505371e-01	3.834281682968139648e+00	4.909814596176147461e-01
7.107107043266296387e-01	3.848852872848510742e+00	5.051097273826599121e-01
7.207207083702087402e-01	3.864077091217041016e+00	5.194383263587951660e-01
