x	u_pred	u_exact
0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00
1.001000963151454926e-02	-4.970637150108814240e-03	1.002002900349907577e-04
2.002001926302909851e-02	-9.672448970377445221e-03	4.008011601399630308e-04
3.003003075718879700e-02	-1.410282496362924576e-02	9.018027340061962605e-04
4.004003852605819702e-02	-1.825946010649204254e-02	1.603204640559852123e-03
5.005005002021789551e-02	-2.214017324149608612e-02	2.505007432773709297e-03
6.006006151437759399e-02	-2.574258670210838318e-02	3.607210936024785042e-03
7.007007300853729248e-02	-2.906482852995395660e-02	4.909815266728401184e-03
8.008007705211639404e-02	-3.210491687059402466e-02	6.412818562239408493e-03
9.009008854627609253e-02	-3.486113995313644409e-02	8.116223849356174469e-03
1.001001000404357910e-01	-3.733112290501594543e-02	1.002002973109483719e-02
1.101101115345954895e-01	-3.951430320739746094e-02	1.212423667311668396e-02
1.201201230287551880e-01	-4.140849784016609192e-02	1.442884374409914017e-02
1.301301270723342896e-01	-4.301261529326438904e-02	1.693384908139705658e-02
1.401401460170745850e-01	-4.432477429509162903e-02	1.963926106691360474e-02
1.501501500606536865e-01	-4.534462839365005493e-02	2.254506759345531464e-02
1.601601541042327881e-01	-4.607085138559341431e-02	2.565127424895763397e-02
1.701701730489730835e-01	-4.650153592228889465e-02	2.895788848400115967e-02
1.801801770925521851e-01	-4.663766548037528992e-02	3.246489539742469788e-02
1.901901960372924805e-01	-4.647713527083396912e-02	3.617231175303459167e-02
2.002002000808715820e-01	-4.601952806115150452e-02	4.008011892437934875e-02
2.102102041244506836e-01	-4.526508972048759460e-02	4.418832808732986450e-02
2.202202230691909790e-01	-4.421222954988479614e-02	4.849694669246673584e-02
2.302302271127700806e-01	-4.286142438650131226e-02	5.300595611333847046e-02
2.402402460575103760e-01	-4.121311381459236145e-02	5.771537497639656067e-02
2.502502501010894775e-01	-3.926524892449378967e-02	6.262518465518951416e-02
2.602602541446685791e-01	-3.701928257942199707e-02	6.773539632558822632e-02
2.702702581882476807e-01	-3.447507321834564209e-02	7.304601371288299561e-02
2.802802920341491699e-01	-3.163287416100502014e-02	7.855704426765441895e-02
2.902902960777282715e-01	-2.849301323294639587e-02	8.426845818758010864e-02
3.003003001213073730e-01	-2.505593560636043549e-02	9.018027037382125854e-02
3.103103041648864746e-01	-2.131997793912887573e-02	9.629248827695846558e-02
