x 	 u_pred 	 u_exact
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	9.477893434621939006e-01	1.000000000000000000e+00
2.000000000000000000e+00	1.581169500812194872e+00	1.624504792712470946e+00
3.000000000000000000e+00	2.107202138508943445e+00	2.157669279974593124e+00
4.000000000000000000e+00	2.591992984965065361e+00	2.639015821545788398e+00
5.000000000000000000e+00	3.042936722594896892e+00	3.085169313600047758e+00
6.000000000000000000e+00	3.463709585562040338e+00	3.505144086407192550e+00
7.000000000000000000e+00	3.860864014084391282e+00	3.904528777122721728e+00
8.000000000000000000e+00	4.240934091335676115e+00	4.287093850145172524e+00
9.000000000000000000e+00	4.608882230930274382e+00	4.655536721746078577e+00
1.000000000000000000e+01	4.968063462405217123e+00	5.011872336272721995e+00
