x 	 u_pred 	 u_exact
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000021e-02	1.760827079401208750e-02	3.981071705534973415e-02
2.000000000000000042e-02	3.495555288538375327e-02	6.467270065773575438e-02
2.999999999999999889e-02	5.204435500159253214e-02	8.589836120408871067e-02
4.000000000000000083e-02	6.887729706386640227e-02	1.050611121761507033e-01
5.000000000000000278e-02	8.545710548991845845e-02	1.228228026115790600e-01
5.999999999999999778e-02	1.017866083839838592e-01	1.395422994621890733e-01
7.000000000000000666e-02	1.178687306292154069e-01	1.554420903805033838e-01
8.000000000000000167e-02	1.337064888974765775e-01	1.706722802578593545e-01
8.999999999999999667e-02	1.493029865914884680e-01	1.853402551702235945e-01
1.000000000000000056e-01	1.646614087341330412e-01	1.995262314968880013e-01
1.100000000000000006e-01	1.797850168194994047e-01	2.132921537485394370e-01
1.199999999999999956e-01	1.946771436399853950e-01	2.266871342624450225e-01
1.300000000000000044e-01	2.093411881034321353e-01	2.397509554655916919e-01
1.400000000000000133e-01	2.237806100538842491e-01	2.525164208123728549e-01
1.499999999999999944e-01	2.379989251091352842e-01	2.650109880753873659e-01
1.600000000000000033e-01	2.519996995277394292e-01	2.772579372620586069e-01
1.700000000000000122e-01	2.657865451176519289e-01	2.892772265198924608e-01
1.799999999999999933e-01	2.793631141981106625e-01	3.010861328065805309e-01
1.900000000000000022e-01	2.927330946257853950e-01	3.126997403788019936e-01
2.000000000000000111e-01	3.059002048956145359e-01	3.241313193385525482e-01
2.099999999999999922e-01	3.188681893261170464e-01	3.353926232290463383e-01
2.200000000000000011e-01	3.316408133383221268e-01	3.464941260124675404e-01
2.300000000000000100e-01	3.442218588367985665e-01	3.574452129644344334e-01
2.399999999999999911e-01	3.566151197005965612e-01	3.682543360555973200e-01
2.500000000000000000e-01	3.688243973912470608e-01	3.789291416275995528e-01
2.600000000000000089e-01	3.808534966842848646e-01	3.894765762112479268e-01
2.700000000000000178e-01	3.927062215300981540e-01	3.999029749234436770e-01
2.800000000000000266e-01	4.043863710492421881e-01	4.102141358482987998e-01
2.899999999999999800e-01	4.158977356667012959e-01	4.204153830445960804e-01
2.999999999999999889e-01	4.272440933889461445e-01	4.305116202499342237e-01
3.099999999999999978e-01	4.384292062270057078e-01	4.405073769187359267e-01
3.200000000000000067e-01	4.494568167681697313e-01	4.504068478997877434e-01
3.300000000000000155e-01	4.603306448983488508e-01	4.602139278028412606e-01
3.400000000000000244e-01	4.710543846765559706e-01	4.699322409041364335e-01
3.500000000000000333e-01	4.816317013624317189e-01	4.795651672837742407e-01
3.599999999999999867e-01	4.920662285972190464e-01	4.891158657635536477e-01
3.699999999999999956e-01	5.023615657381038657e-01	4.985872941147092008e-01
3.800000000000000044e-01	5.125212753453757264e-01	5.079822269253092548e-01
3.900000000000000133e-01	5.225488808214230341e-01	5.173032714526639708e-01
4.000000000000000222e-01	5.324478642001766460e-01	5.265528817336949663e-01
4.100000000000000311e-01	5.422216640852292047e-01	5.357333711833627277e-01
4.199999999999999845e-01	5.518736737345150134e-01	5.448469238759937605e-01
4.299999999999999933e-01	5.614072392891026331e-01	5.538956046752127049e-01
4.400000000000000022e-01	5.708256581433694965e-01	5.628813683539724000e-01
4.500000000000000111e-01	5.801321774535510567e-01	5.718060678259764273e-01
4.600000000000000200e-01	5.893299927814252825e-01	5.806714615928536549e-01
4.700000000000000289e-01	5.984222468696730468e-01	5.894792204971880389e-01
4.799999999999999822e-01	6.074120285452733192e-01	5.982309338594667958e-01
4.899999999999999911e-01	6.163023717471256546e-01	6.069281150667864555e-01
5.000000000000000000e-01	6.250962546739524672e-01	6.155722066724581554e-01
5.100000000000000089e-01	6.337965990484254464e-01	6.241645850582235866e-01
5.200000000000000178e-01	6.424062694933503348e-01	6.327065647044162189e-01
5.300000000000000266e-01	6.509280730156906669e-01	6.411994021079273631e-01
5.400000000000000355e-01	6.593647585941379008e-01	6.496442993831094137e-01
