x 	 u_pred 	 u_exact
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000021e-02	8.480723454407993467e-01	3.981071705534973415e-02
2.000000000000000042e-02	1.695237530859544428e+00	6.467270065773575438e-02
2.999999999999999889e-02	2.541321993171185234e+00	8.589836120408871067e-02
4.000000000000000083e-02	3.386123123288731662e+00	1.050611121761507033e-01
5.000000000000000278e-02	4.229402859025805483e+00	1.228228026115790600e-01
5.999999999999999778e-02	5.070879335575402713e+00	1.395422994621890733e-01
7.000000000000000666e-02	5.910215845003873092e+00	1.554420903805033838e-01
8.000000000000000167e-02	6.747006048636342790e+00	1.706722802578593545e-01
8.999999999999999667e-02	7.580753959806203923e+00	1.853402551702235945e-01
1.000000000000000056e-01	8.410846632622439145e+00	1.995262314968880013e-01
1.100000000000000006e-01	9.236516716512625180e+00	2.132921537485394370e-01
1.199999999999999956e-01	1.005679103653003814e+01	2.266871342624450225e-01
1.300000000000000044e-01	1.087042014006809332e+01	2.397509554655916919e-01
1.400000000000000133e-01	1.167578240241788556e+01	2.525164208123728549e-01
1.499999999999999944e-01	1.247075508429209201e+01	2.650109880753873659e-01
1.600000000000000033e-01	1.325254432892476153e+01	2.772579372620586069e-01
1.700000000000000122e-01	1.401746778180568143e+01	2.892772265198924608e-01
1.799999999999999933e-01	1.476068970333900232e+01	3.010861328065805309e-01
1.900000000000000022e-01	1.547592304673021779e+01	3.126997403788019936e-01
2.000000000000000111e-01	1.615514151069573501e+01	3.241313193385525482e-01
2.099999999999999922e-01	1.678839277172143341e+01	3.353926232290463383e-01
2.200000000000000011e-01	1.736387292863662068e+01	3.464941260124675404e-01
2.300000000000000100e-01	1.786849678394387197e+01	3.574452129644344334e-01
2.399999999999999911e-01	1.828923145531880223e+01	3.682543360555973200e-01
2.500000000000000000e-01	1.861536199178460294e+01	3.789291416275995528e-01
2.600000000000000089e-01	1.884152610743030465e+01	3.894765762112479268e-01
2.700000000000000178e-01	1.897079075774768953e+01	3.999029749234436770e-01
