 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 16:30:50, 3/4/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1         175           1           1   639.63099886851319        6.7320193973290419     
           2         168           3           3   100.00000000000000        1.4802321593971592     
           3        1028           1           3   110.54757914874172        1.3547079642329795E-002
           4        3475           3           5   114.56814973027578        9.8151456263481478E-004
           5        3822           2           5   165.70052164313091        2.3765517288338697E-004
           6        2824           3           7   335.97454959922288        2.2650325150644560E-004
           7        2908           2           7   542.41109969960826        4.4414923782349063E-005
           8        1643           3           9   49.813361804269960        9.1443605406513607E-004
           9        1833           2           9   351.13828768705309        1.0370298108374290E-004
          10        2582           3          11   312.63713056124044        1.1010940803130601E-004
          11        2533           2          11   144.62655556484270        5.4343532619381224E-007
          12        3065           3          11   114.61199673819691        1.5452939160094396E-006
          13        4057           2          11   53.276663292698942        1.9740600396244912E-005
          14        5519           3          11   54.798035985939762        1.2047849105356537E-007
          15        6892           3          11   3.6878707807983044        9.9391648537093812E-008
          16        7970           3          11   3.6327837459454400        2.2014174880477716E-008
          17        8431           2          11  0.81581839772287923        2.1370573674052752E-009
          18        7777           3          11   3.6230409419687226        1.3141766514344277E-008
          19        9747           3          11  0.11005174407569740        7.8544760610623123E-009
          20       11098           3          11  0.10418891035991092        3.4456812933708960E-009
          21       11957           2          11   4.2801657392372350E-002   1.5740707688438677E-009
          22       13009           2          11   4.2872585375088271E-002   1.1002898721047772E-009
          23       14250           2          11   4.2896481619652316E-002   8.3566390569985364E-010
          24       16954           3          11   4.2911264710769600E-002   1.8501665217279249E-009
          25       19319           3          11   1.8519881037544268E-002   3.1064005106838089E-010
          26       23518           3          11   6.9263997376789871E-003   8.4300681805212466E-010
          27       23473           3          11   2.1872130039417743E-003   5.8923216926827484E-012
