 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 10:40:47, 6/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error 
           0          25           1           1   1197.3151090666852
	   1          25           1           1   1197.3151090666852     
           2          54           1           1   609.08866777001765
	   3          54           1           1   609.08866777001765      
           4          86           1           1   299.14337902962569
	   5          86           1           1   299.14337902962569     
           6         252           1           1   237.30080699978177
	   7         252           1           1   237.30080699978177     
           8         400           1           1   193.78456134661693
	   9         400           1           1   193.78456134661693     
          10         581           1           1   129.12544399480507
	  11         581           1           1   129.12544399480507     
          12         835           1           1   107.18451642133982 
	  13         835           1           1   107.18451642133982    
          14        1333           1           1   76.789569652232473
	  15        1333           1           1   76.789569652232473     
          16        2300           1           1   48.856840472793515
	  17        2300           1           1   48.856840472793515     
          18        6166           1           1   27.109886582423044
	  19        6166           1           1   27.109886582423044     
          20       17764           1           1   15.110410867242100   
