 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 15:20:28, 18/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error 
           1          56           1           1   641.18521105410173     
           2          98           1           1   340.42160681979567     
           3         173           1           1   189.13140672587500     
           4         320           1           1   175.04123497709986     
           5         394           1           1   177.11904495852230     
           6         526           1           1   123.51266697238363     
           7         896           1           1   106.26200178008570     
           8        1378           1           1   79.216517697596075     
           9        2533           1           1   51.408512535526860     
          10        5966           1           1   29.372540327279811     
          11       17165           1           1   16.800556599060258     
          12       49550           1           1   9.7382005199193973     
          13      128661           1           1   5.6652735782739150     
