 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 14:59:1, 21/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error 
           1          56           1           1   641.18521105410980     
           2         245           1           3   449.64828942549781     
           3         464           1           3   236.89974665231694     
           4         846           1           5   147.42939256217764     
           5        1553           1           5   102.60088885358647     
           6        2280           1           7   85.475815943965699     
           7        3802           1           7   52.261895378976220     
           8        5670           1           9   33.942915444145065     
           9        9100           1           9   10.490472176033132     
          10        9872           1          11   8.2468144157515688     
          11       18030           1          11   4.8445723820149302     
          12       23444           1          11   4.8467846191949251     
          13       29689           1          11   4.4337694153089133     
          14       16880           1          11   5.7507588549967732     
          15       13876           1          11   4.6468154540830771     
          16       13632           1          11   4.1949687537951093     
          17       27350           1          11   1.9459782571756856     
          18       26015           1          11   1.7679289157661613     
          19       27950           1          11   1.1265661888040364     
          20       34505           1          11  0.27790776416479568     
          21       35409           1          11  0.18303414886442057     
          22       39228           1          11   7.9598155549761559E-002
          23       43844           1          11   5.2039336048530324E-002
