x 	 u_exact
0.000000000000000000e+00	0.000000000000000000e+00
2.000400080016003206e-03	1.290570709616645391e-02
4.000800160032006413e-03	2.096538303106575130e-02
6.001200240048009185e-03	2.784624773774846754e-02
8.001600320064012825e-03	3.405836521501902359e-02
1.000200040008001647e-02	3.981629150340312839e-02
1.200240048009601837e-02	4.523636290903119278e-02
1.400280056011202201e-02	5.039070474609883693e-02
1.600320064012802565e-02	5.532797752375012007e-02
1.800360072014402929e-02	6.008299330630188090e-02
2.000400080016003293e-02	6.468175637531521638e-02
2.200440088017603657e-02	6.914434769818465776e-02
2.400480096019203674e-02	7.348668835060181981e-02
2.600520104020804038e-02	7.772167486868172825e-02
2.800560112022404402e-02	8.185994136819661759e-02
3.000600120024004766e-02	8.591038901940632744e-02
3.200640128025605130e-02	8.988056465841993969e-02
3.400680136027205147e-02	9.377693825174257536e-02
3.600720144028805858e-02	9.760511058659872285e-02
3.800760152030405875e-02	1.013699716276225821e-01
4.000800160032006586e-02	1.050758232327600045e-01
4.200840168033606603e-02	1.087264756269273880e-01
4.400880176035207314e-02	1.123253242246784883e-01
4.600920184036807331e-02	1.158754115137428375e-01
4.800960192038407348e-02	1.193794774261203728e-01
5.001000200040008059e-02	1.228400007276536504e-01
5.201040208041608076e-02	1.262592333218138796e-01
5.401080216043208787e-02	1.296392289059266623e-01
5.601120224044808804e-02	1.329818670837972783e-01
5.801160232046409515e-02	1.362888737912615056e-01
6.001200240048009532e-02	1.395618387058184251e-01
6.201240248049610243e-02	1.428022301710802078e-01
6.401280256051210260e-02	1.460114080593063191e-01
6.601320264052810971e-02	1.491906349122549824e-01
6.801360272054410294e-02	1.523410856358572707e-01
7.001400280056011005e-02	1.554638559733444170e-01
7.201440288057611716e-02	1.585599699411603669e-01
7.401480296059212427e-02	1.616303863798392582e-01
7.601520304060811750e-02	1.646760047462000887e-01
7.801560312062412461e-02	1.676976702523279295e-01
8.001600320064013172e-02	1.706961784398270399e-01
8.201640328065612495e-02	1.736722792639375512e-01
8.401680336067213206e-02	1.766266807506791936e-01
8.601720344068813917e-02	1.795600522807389021e-01
8.801760352070414628e-02	1.824730275459724160e-01
9.001800360072013951e-02	1.853662072178396403e-01
9.201840368073614662e-02	1.882401613616050962e-01
9.401880376075215373e-02	1.910954316255129848e-01
9.601920384076814696e-02	1.939325332302427873e-01
9.801960392078415407e-02	1.967519567806374214e-01
1.000200040008001612e-01	1.995541699188767837e-01
1.020204040808161683e-01	2.023396188358592973e-01
1.040208041608321615e-01	2.051087296554887640e-01
1.060212042408481686e-01	2.078619097047879061e-01
1.080216043208641757e-01	2.105995486812269890e-01
1.100220044008801829e-01	2.133220197273313912e-01
1.120224044808961761e-01	2.160296804214814625e-01
1.140228045609121832e-01	2.187228736928173434e-01
1.160232046409281903e-01	2.214019286672894160e-01
1.180236047209441835e-01	2.240671614511317022e-01
1.200240048009601906e-01	2.267188758573668861e-01
1.220244048809761978e-01	2.293573640803634461e-01
1.240248049609922049e-01	2.319829073229492389e-01
1.260252050410081981e-01	2.345957763801275464e-01
1.280256051210242052e-01	2.371962321830394516e-01
1.300260052010402123e-01	2.397845263064569132e-01
1.320264052810562194e-01	2.423609014427747232e-01
1.340268053610722265e-01	2.449255918451855585e-01
1.360272054410882059e-01	2.474788237424710990e-01
1.380276055211042130e-01	2.500208157276171961e-01
1.400280056011202201e-01	2.525517791222593456e-01
1.420284056811362272e-01	2.550719183187855621e-01
1.440288057611522343e-01	2.575814311017603497e-01
1.460292058411682414e-01	2.600805089501900813e-01
1.480296059211842485e-01	2.625693373220173710e-01
1.500300060012002279e-01	2.650480959221149235e-01
1.520304060812162350e-01	2.675169589549436511e-01
1.540308061612322421e-01	2.699760953629412041e-01
1.560312062412482492e-01	2.724256690516222990e-01
1.580316063212642563e-01	2.748658391022921754e-01
1.600320064012802634e-01	2.772967599732021893e-01
1.620324064812962706e-01	2.797185816899122601e-01
1.640328065613122499e-01	2.821314500255652780e-01
1.660332066413282570e-01	2.845355066717242809e-01
1.680336067213442641e-01	2.869308894003739230e-01
1.700340068013602712e-01	2.893177322176427313e-01
1.720344068813762783e-01	2.916961655097622397e-01
1.740348069613922855e-01	2.940663161817393956e-01
1.760352070414082926e-01	2.964283077891869400e-01
1.780356071214242719e-01	2.987822606637214329e-01
1.800360072014402790e-01	3.011282920323135048e-01
1.820364072814562861e-01	3.034665161309436088e-01
1.840368073614722932e-01	3.057970443128963933e-01
1.860372074414883004e-01	3.081199851520007305e-01
1.880376075215043075e-01	3.104354445411041663e-01
1.900380076015203146e-01	3.127435257860487483e-01
1.920384076815362939e-01	3.150443296953999717e-01
1.940388077615523010e-01	3.173379546661627137e-01
1.960392078415683081e-01	3.196244967657024261e-01
1.980396079215843153e-01	3.219040498100775860e-01
2.000400080016003224e-01	3.241767054389741443e-01
2.020404080816163295e-01	3.264425531874229902e-01
2.040408081616323366e-01	3.287016805544679676e-01
2.060412082416483437e-01	3.309541730689431471e-01
2.080416083216643230e-01	3.332001143525080145e-01
2.100420084016803302e-01	3.354395861800799072e-01
2.120424084816963373e-01	3.376726685377948178e-01
2.140428085617123444e-01	3.398994396786203520e-01
2.160432086417283515e-01	3.421199761757365843e-01
2.180436087217443586e-01	3.443343529737943332e-01
2.200440088017603657e-01	3.465426434381541632e-01
2.220444088817763451e-01	3.487449194022029797e-01
2.240448089617923522e-01	3.509412512128400885e-01
2.260452090418083593e-01	3.531317077742188726e-01
2.280456091218243664e-01	3.553163565898262433e-01
2.300460092018403735e-01	3.574952638029770813e-01
2.320464092818563806e-01	3.596684942357962766e-01
2.340468093618723877e-01	3.618361114267571454e-01
2.360472094418883671e-01	3.639981776668425040e-01
2.380476095219043742e-01	3.661547540343894069e-01
2.400480096019203813e-01	3.683059004286762250e-01
2.420484096819363884e-01	3.704516756023074620e-01
2.440488097619523955e-01	3.725921371924495462e-01
2.460492098419684026e-01	3.747273417509666138e-01
2.480496099219844097e-01	3.768573447735040216e-01
2.500500100020003891e-01	3.789822007275646110e-01
2.520504100820163962e-01	3.811019630796202984e-01
2.540508101620324033e-01	3.832166843212992391e-01
2.560512102420484104e-01	3.853264159946876433e-01
2.580516103220644175e-01	3.874312087167822161e-01
2.600520104020804246e-01	3.895311122031288042e-01
2.620524104820964317e-01	3.916261752906798899e-01
2.640528105621124388e-01	3.937164459599023503e-01
2.660532106421284460e-01	3.958019713561662378e-01
2.680536107221444531e-01	3.978827978104424457e-01
2.700540108021604602e-01	3.999589708593372928e-01
2.720544108821764118e-01	4.020305352644891195e-01
2.740548109621924189e-01	4.040975350313530390e-01
2.760552110422084260e-01	4.061600134273956608e-01
2.780556111222244331e-01	4.082180129997243778e-01
2.800560112022404402e-01	4.102715755921716445e-01
2.820564112822564473e-01	4.123207423618546752e-01
2.840568113622724544e-01	4.143655537952310453e-01
2.860572114422884615e-01	4.164060497236684588e-01
2.880576115223044686e-01	4.184422693385468350e-01
2.900580116023204758e-01	4.204742512059098658e-01
2.920584116823364829e-01	4.225020332806825318e-01
2.940588117623524900e-01	4.245256529204702312e-01
2.960592118423684971e-01	4.265451468989546746e-01
2.980596119223845042e-01	4.285605514189012033e-01
3.000600120024004558e-01	4.305719021247904066e-01
3.020604120824164629e-01	4.325792341150892506e-01
3.040608121624324700e-01	4.345825819541713764e-01
3.060612122424484771e-01	4.365819796839020550e-01
3.080616123224644842e-01	4.385774608348970705e-01
3.100620124024804913e-01	4.405690584374675756e-01
3.120624124824964984e-01	4.425568050322618574e-01
3.140628125625125056e-01	4.445407326806138926e-01
3.160632126425285127e-01	4.465208729746085736e-01
3.180636127225445198e-01	4.484972570468735986e-01
3.200640128025605269e-01	4.504699155801066279e-01
3.220644128825765340e-01	4.524388788163465347e-01
3.240648129625925411e-01	4.544041765659972976e-01
3.260652130426085482e-01	4.563658382166128069e-01
3.280656131226244998e-01	4.583238927414497454e-01
3.300660132026405069e-01	4.602783687077970365e-01
3.320664132826565140e-01	4.622292942850873554e-01
3.340668133626725211e-01	4.641766972528000301e-01
3.360672134426885282e-01	4.661206050081593277e-01
3.380676135227045354e-01	4.680610445736371750e-01
3.400680136027205425e-01	4.699980426042639214e-01
3.420684136827365496e-01	4.719316253947550277e-01
3.440688137627525567e-01	4.738618188864588965e-01
3.460692138427685638e-01	4.757886486741303433e-01
3.480696139227845709e-01	4.777121400125365347e-01
3.500700140028005780e-01	4.796323178228997786e-01
3.520704140828165851e-01	4.815492066991816644e-01
3.540708141628325922e-01	4.834628309142142699e-01
3.560712142428485438e-01	4.853732144256822645e-01
3.580716143228645509e-01	4.872803808819610727e-01
3.600720144028805580e-01	4.891843536278139282e-01
3.620724144828965652e-01	4.910851557099540909e-01
3.640728145629125723e-01	4.929828098824743376e-01
3.660732146429285794e-01	4.948773386121483875e-01
3.680736147229445865e-01	4.967687640836080387e-01
3.700740148029605936e-01	4.986571082043991798e-01
3.720744148829766007e-01	5.005423926099206167e-01
3.740748149629926078e-01	5.024246386682484911e-01
3.760752150430086149e-01	5.043038674848502323e-01
3.780756151230246220e-01	5.061800999071904839e-01
3.800760152030406291e-01	5.080533565292324472e-01
3.820764152830566363e-01	5.099236576958373623e-01
3.840768153630725879e-01	5.117910235070650682e-01
3.860772154430885950e-01	5.136554738223785277e-01
3.880776155231046021e-01	5.155170282647542068e-01
3.900780156031206092e-01	5.173757062247017480e-01
3.920784156831366163e-01	5.192315268641952697e-01
3.940788157631526234e-01	5.210845091205185131e-01
3.960792158431686305e-01	5.229346717100250563e-01
3.980796159231846376e-01	5.247820331318185927e-01
4.000800160032006447e-01	5.266266116713524958e-01
4.020804160832166518e-01	5.284684254039525575e-01
4.040808161632326589e-01	5.303074921982644518e-01
4.060812162432486661e-01	5.321438297196272593e-01
4.080816163232646732e-01	5.339774554333768242e-01
4.100820164032806803e-01	5.358083866080781688e-01
4.120824164832966874e-01	5.376366403186907394e-01
4.140828165633126390e-01	5.394622334496681493e-01
4.160832166433286461e-01	5.412851826979926395e-01
4.180836167233446532e-01	5.431055045761474798e-01
4.200840168033606603e-01	5.449232154150277507e-01
4.220844168833766674e-01	5.467383313667923961e-01
4.240848169633926745e-01	5.485508684076573216e-01
4.260852170434086816e-01	5.503608423406322059e-01
4.280856171234246887e-01	5.521682687982022442e-01
4.300860172034406959e-01	5.539731632449559351e-01
4.320864172834567030e-01	5.557755409801604651e-01
4.340868173634727101e-01	5.575754171402852455e-01
4.360872174434887172e-01	5.593728067014764882e-01
4.380876175235047243e-01	5.611677244819823773e-01
4.400880176035207314e-01	5.629601851445303895e-01
4.420884176835366830e-01	5.647502031986588733e-01
4.440888177635526901e-01	5.665377930030032205e-01
4.460892178435686972e-01	5.683229687675367403e-01
4.480896179235847043e-01	5.701057445557700110e-01
4.500900180036007114e-01	5.718861342869066000e-01
4.520904180836167185e-01	5.736641517379582611e-01
4.540908181636327257e-01	5.754398105458201629e-01
4.560912182436487328e-01	5.772131242093060388e-01
4.580916183236647399e-01	5.789841060911459225e-01
4.600920184036807470e-01	5.807527694199454693e-01
4.620924184836967541e-01	5.825191272921094177e-01
4.640928185637127612e-01	5.842831926737287462e-01
4.660932186437287683e-01	5.860449784024335251e-01
4.680936187237447754e-01	5.878044971892106840e-01
4.700940188037607270e-01	5.895617616201888067e-01
4.720944188837767341e-01	5.913167841583911732e-01
4.740948189637927412e-01	5.930695771454550513e-01
4.760952190438087483e-01	5.948201528033215668e-01
4.780956191238247555e-01	5.965685232358940437e-01
4.800960192038407626e-01	5.983147004306667016e-01
4.820964192838567697e-01	6.000586962603243757e-01
4.840968193638727768e-01	6.018005224843140377e-01
4.860972194438887839e-01	6.035401907503873398e-01
4.880976195239047910e-01	6.052777125961168458e-01
4.900980196039207981e-01	6.070130994503855071e-01
4.920984196839368052e-01	6.087463626348492696e-01
4.940988197639528123e-01	6.104775133653751462e-01
4.960992198439688194e-01	6.122065627534533094e-01
4.980996199239847710e-01	6.139335218075853140e-01
5.001000200040007782e-01	6.156584014346484501e-01
5.021004200840167853e-01	6.173812124412356717e-01
5.041008201640327924e-01	6.191019655349743189e-01
5.061012202440487995e-01	6.208206713258205278e-01
5.081016203240648066e-01	6.225373403273326556e-01
5.101020204040808137e-01	6.242519829579232793e-01
5.121024204840968208e-01	6.259646095420894341e-01
5.141028205641128279e-01	6.276752303116225340e-01
5.161032206441288350e-01	6.293838554067983093e-01
5.181036207241448421e-01	6.310904948775467593e-01
5.201040208041608492e-01	6.327951586846021215e-01
5.221044208841768564e-01	6.344978567006346326e-01
5.241048209641928635e-01	6.361985987113637497e-01
5.261052210442088706e-01	6.378973944166520527e-01
5.281056211242248777e-01	6.395942534315819383e-01
5.301060212042408848e-01	6.412891852875156617e-01
5.321064212842568919e-01	6.429821994331361701e-01
5.341068213642728990e-01	6.446733052354730598e-01
5.361072214442889061e-01	6.463625119809108810e-01
5.381076215243049132e-01	6.480498288761814552e-01
5.401080216043209203e-01	6.497352650493409820e-01
5.421084216843368164e-01	6.514188295507306048e-01
5.441088217643528235e-01	6.531005313539226531e-01
5.461092218443688306e-01	6.547803793566513431e-01
5.481096219243848378e-01	6.564583823817287112e-01
5.501100220044008449e-01	6.581345491779468926e-01
5.521104220844168520e-01	6.598088884209657445e-01
5.541108221644328591e-01	6.614814087141870358e-01
5.561112222444488662e-01	6.631521185896140924e-01
5.581116223244648733e-01	6.648210265086996751e-01
5.601120224044808804e-01	6.664881408631797566e-01
5.621124224844968875e-01	6.681534699758943097e-01
5.641128225645128946e-01	6.698170221015968817e-01
5.661132226445289017e-01	6.714788054277500695e-01
5.681136227245449088e-01	6.731388280753100029e-01
5.701140228045609160e-01	6.747970980994992818e-01
5.721144228845769231e-01	6.764536234905669243e-01
5.741148229645929302e-01	6.781084121745379889e-01
5.761152230446089373e-01	6.797614720139519839e-01
5.781156231246249444e-01	6.814128108085892865e-01
5.801160232046409515e-01	6.830624362961880136e-01
5.821164232846569586e-01	6.847103561531493465e-01
5.841168233646729657e-01	6.863565779952326418e-01
