x 	 u_pred 	 u_exact 	 error
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.761904761904761640e-01	5.897375588049167394e-01	5.949034584479442334e-01	5.165899643027493937e-03
9.523809523809523281e-01	9.614004091160968102e-01	9.664235194499097847e-01	5.023110333812974559e-03
1.428571428571428381e+00	1.278136654338954736e+00	1.283604916843770871e+00	5.468262504816134850e-03
1.904761904761904656e+00	1.564993516090822379e+00	1.569959639136432328e+00	4.966123045609949216e-03
2.380952380952380931e+00	1.830391701846597829e+00	1.835377894558138712e+00	4.986192711540882172e-03
2.857142857142856762e+00	2.080030134680298737e+00	2.085222339361998856e+00	5.192204681700118840e-03
3.333333333333333037e+00	2.317515750224198978e+00	2.322817673119829340e+00	5.301922895630362120e-03
3.809523809523809312e+00	2.545104502793435586e+00	2.550406958142275915e+00	5.302455348840329208e-03
4.285714285714285587e+00	2.764347822284076273e+00	2.769594896698146957e+00	5.247074414070684867e-03
4.761904761904761862e+00	2.976414449060957867e+00	2.981580186148220513e+00	5.165737087262645133e-03
5.238095238095238138e+00	3.182218864864084118e+00	3.187288481852793343e+00	5.069616988709224614e-03
5.714285714285713524e+00	3.382481346387097076e+00	3.387453684164677625e+00	4.972337777580548845e-03
6.190476190476189799e+00	3.577772466966048004e+00	3.582670273795362625e+00	4.897806829314621524e-03
6.666666666666666075e+00	3.768553930629334303e+00	3.773428442580392783e+00	4.874511951058480008e-03
7.142857142857142350e+00	3.955214433233180671e+00	3.960138500232543546e+00	4.924066999362874952e-03
7.619047619047618625e+00	4.138097991593853386e+00	4.143148326869360965e+00	5.050335275507578103e-03
8.095238095238094900e+00	4.317523954282679988e+00	4.322756163061569623e+00	5.232208778889635425e-03
8.571428571428571175e+00	4.493799498887564248e+00	4.499220183558140462e+00	5.420684670576214614e-03
9.047619047619047450e+00	4.667226196052613574e+00	4.672765796920644199e+00	5.539600868030625236e-03
9.523809523809523725e+00	4.838102358569875250e+00	4.843591302254325548e+00	5.488943684450298122e-03
1.000000000000000000e+01	5.006722689523700254e+00	5.011872336272721995e+00	5.149646749021741243e-03
