x 	 u_pred 	 u_exact 	 error	malla
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0e+00
6.215228541683019562e-04	5.210187945489505937e-03	5.694032897525333481e-03	4.838449520358275441e-04	0e+00
4.981754488207487154e-03	2.449411322076762085e-02	2.444373824928070676e-02	5.037497148691408300e-05	0e+00
1.977987520958431750e-02	6.398284012539467991e-02	6.417361184664610585e-02	1.907717212514259408e-04	0e+00
6.314029606299033370e-02	1.445966174246866298e-01	1.446154288402471400e-01	1.881141556051013630e-05	0e+00
8.518303647044739302e-02	1.781480470674187966e-01	1.783393510351986011e-01	1.913039677798045179e-04	0e+00
1.275920939450237990e-01	2.364075633345286975e-01	2.366337223201018247e-01	2.261589855731271914e-04	0e+00
1.869392528646017793e-01	3.093021714026820135e-01	3.091650209900220214e-01	1.371504126599920603e-04	0e+00
2.690684060536022715e-01	3.988869777858639054e-01	3.989366112032944334e-01	4.963341743052795962e-05	0e+00
3.806141175809549249e-01	5.080659865975939438e-01	5.085567523772674958e-01	4.907657796735520606e-04	0e+00
5.302121987217531807e-01	6.411539111353362630e-01	6.413790954409569478e-01	2.251843056206848104e-04	0e+00
7.282656857999842970e-01	8.010996487576340641e-01	8.009453663532898338e-01	1.542824043442303505e-04	0e+00
9.873801194151904381e-01	9.908805733293660767e-01	9.911492690273225881e-01	2.686956979565113812e-04	0e+00
1.323019022231503694e+00	1.215771713633400752e+00	1.216455599718313296e+00	6.838860849125438790e-04	0e+00
1.753296605510574535e+00	1.481488935258794770e+00	1.481490170684249819e+00	1.235425455048400067e-06	0e+00
2.300173758616245401e+00	1.792348670657970544e+00	1.791564511914427449e+00	7.841587435430952269e-04	0e+00
2.989786245512794594e+00	2.152479122653717880e+00	2.152524472377996378e+00	4.534972427849837118e-05	0e+00
3.852394544050941505e+00	2.569027821793212762e+00	2.570464032803723153e+00	1.436211010510390906e-03	0e+00
4.927677223972370513e+00	3.053325191832140462e+00	3.053863187517956490e+00	5.379956858160284128e-04	0e+00
6.255083547359509666e+00	3.610121008874616511e+00	3.608803043638399100e+00	1.317965236217411018e-03	0e+00
7.902829164706010268e+00	4.249469371371053406e+00	4.250576293584149568e+00	1.106922213096162011e-03	0e+00
1.000000000000000000e+01	5.011529611987195487e+00	5.011872336272721995e+00	3.427242855265077992e-04	0e+00
