x 	 u_pred 	 u_exact 	 error
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.761904761904761640e-01	1.086744830418318042e-02	1.041086799598955892e-02	4.565803081936214980e-04
9.523809523809523281e-01	2.341915363474489711e-02	2.323811714483703383e-02	1.810364899078632794e-04
1.428571428571428381e+00	3.905759512143430756e-02	3.942728899090930383e-02	3.696938694749962728e-04
1.904761904761904656e+00	5.981533958859025502e-02	6.048630863090376231e-02	6.709690423135072912e-04
2.380952380952380931e+00	8.846807247050737788e-02	8.897056373334111257e-02	5.024912628337346865e-04
2.857142857142856762e+00	1.292571974482070452e-01	1.295632807858333457e-01	3.060833376263005778e-04
3.333333333333333037e+00	1.909982154067426108e-01	1.917881419867051296e-01	7.899265799625188045e-04
3.809523809523809312e+00	2.972531172601776128e-01	2.979593390309673850e-01	7.062217707897722185e-04
4.285714285714285587e+00	5.101366021583388921e-01	5.110573118980465956e-01	9.207097397077035339e-04
4.761904761904761862e+00	1.025560749966238472e+00	1.026708464402635634e+00	1.147714436397162530e-03
5.238095238095238138e+00	1.914089630319979030e+00	1.915546884204833766e+00	1.457253884854736725e-03
5.714285714285713524e+00	2.429470736623588589e+00	2.431198036709422361e+00	1.727300085833771703e-03
6.190476190476189799e+00	2.642352988226945421e+00	2.644296009576502016e+00	1.943021349556595112e-03
6.666666666666666075e+00	2.748323745117573935e+00	2.750467206620764049e+00	2.143461503190113859e-03
7.142857142857142350e+00	2.810516744426450497e+00	2.812692067821635611e+00	2.175323395185113640e-03
7.619047619047618625e+00	2.850935380076350167e+00	2.853284784874128288e+00	2.349404797778120724e-03
8.095238095238094900e+00	2.879229136634004149e+00	2.881769039976565416e+00	2.539903342561267152e-03
8.571428571428571175e+00	2.900158250402855575e+00	2.902828059616560097e+00	2.669809213704521511e-03
9.047619047619047450e+00	2.916223722115928396e+00	2.919017231462632367e+00	2.793509346703970664e-03
9.523809523809523725e+00	2.928891841795567608e+00	2.931844480611479842e+00	2.952638815912234094e-03
1.000000000000000000e+01	2.939202557036308949e+00	2.942255348607469401e+00	3.052791571160451412e-03
