x 	 u_exact
0.000000000000000000e+00	0.000000000000000000e+00
2.000400080016003206e-03	3.962757998254851088e-05
4.000800160032006413e-03	7.928657919298309764e-05
6.001200240048009185e-03	1.189770348879459760e-04
8.001600320064012825e-03	1.586989843829211821e-04
1.000200040008001647e-02	1.984524650520125277e-04
1.200240048009601837e-02	2.382375143286097341e-04
1.400280056011202201e-02	2.780541697045002536e-04
1.600320064012802565e-02	3.179024687314235820e-04
1.800360072014402929e-02	3.577824490201830798e-04
2.000400080016003293e-02	3.976941482404239281e-04
2.200440088017603657e-02	4.376376041224094848e-04
2.400480096019203674e-02	4.776128544552449284e-04
2.600520104020804038e-02	5.176199370882095252e-04
2.800560112022404402e-02	5.576588899298684510e-04
3.000600120024004766e-02	5.977297509498491479e-04
3.200640128025605130e-02	6.378325581768429231e-04
3.400680136027205147e-02	6.779673497006033500e-04
3.600720144028805858e-02	7.181341636708360454e-04
3.800760152030405875e-02	7.583330382978648032e-04
4.000800160032006586e-02	7.985640118521875053e-04
4.200840168033606603e-02	8.388271226660304336e-04
4.400880176035207314e-02	8.791224091313498690e-04
4.600920184036807331e-02	9.194499097018304923e-04
4.800960192038407348e-02	9.598096628917751616e-04
5.001000200040008059e-02	1.000201707277215135e-03
5.201040208041608076e-02	1.040626081494799848e-03
5.401080216043208787e-02	1.081082824243573270e-03
5.601120224044808804e-02	1.121571974283197548e-03
5.801160232046409515e-02	1.162093570435507317e-03
6.001200240048009532e-02	1.202647651584287658e-03
6.201240248049610243e-02	1.243234256674830007e-03
6.401280256051210260e-02	1.283853424715042379e-03
6.601320264052810971e-02	1.324505194774561190e-03
6.801360272054410294e-02	1.365189605985195342e-03
7.001400280056011005e-02	1.405906697542036454e-03
7.201440288057611716e-02	1.446656508701682498e-03
7.401480296059212427e-02	1.487439078784458246e-03
7.601520304060811750e-02	1.528254447172416874e-03
7.801560312062412461e-02	1.569102653311116313e-03
8.001600320064013172e-02	1.609983736709619251e-03
8.201640328065612495e-02	1.650897736939160865e-03
8.401680336067213206e-02	1.691844693635147223e-03
8.601720344068813917e-02	1.732824646495823018e-03
8.801760352070414628e-02	1.773837635283603831e-03
9.001800360072013951e-02	1.814883699823965912e-03
9.201840368073614662e-02	1.855962880006556404e-03
9.401880376075215373e-02	1.897075215784971292e-03
9.601920384076814696e-02	1.938220747176755410e-03
9.801960392078415407e-02	1.979399514263624482e-03
1.000200040008001612e-01	2.020611557191687169e-03
1.020204040808161683e-01	2.061856916171889154e-03
1.040208041608321615e-01	2.103135631478902923e-03
1.060212042408481686e-01	2.144447743452904120e-03
1.080216043208641757e-01	2.185793292498683371e-03
1.100220044008801829e-01	2.227172319085646279e-03
1.120224044808961761e-01	2.268584863748701608e-03
1.140228045609121832e-01	2.310030967088039233e-03
1.160232046409281903e-01	2.351510669768908102e-03
1.180236047209441835e-01	2.393024012522282362e-03
1.200240048009601906e-01	2.434571036144639322e-03
1.220244048809761978e-01	2.476151781498403537e-03
1.240248049609922049e-01	2.517766289511502720e-03
1.260252050410081981e-01	2.559414601178477966e-03
1.280256051210242052e-01	2.601096757559373529e-03
1.300260052010402123e-01	2.642812799781069089e-03
1.320264052810562194e-01	2.684562769036613616e-03
1.340268053610722265e-01	2.726346706585669466e-03
1.360272054410882059e-01	2.768164653754290327e-03
1.380276055211042130e-01	2.810016651936031451e-03
1.400280056011202201e-01	2.851902742590617379e-03
1.420284056811362272e-01	2.893822967245718303e-03
1.440288057611522343e-01	2.935777367495395751e-03
1.460292058411682414e-01	2.977765985001434856e-03
1.480296059211842485e-01	3.019788861493566401e-03
1.500300060012002279e-01	3.061846038768356593e-03
1.520304060812162350e-01	3.103937558690539333e-03
1.540308061612322421e-01	3.146063463193016219e-03
